Event id,Event name,Taxon,Type,Level-Placed
922,F_Ellesmeroceroides hubeiensis,Ellesmeroceroides hubeiensis,0,1898.4568
923,F_Ellesmeroceroides ovalis,Ellesmeroceroides ovalis,0,1898.4568
1143,F_Goldfieldia kunshanensis,Goldfieldia kunshanensis,0,1898.4568
1494,F_Lianghekouceras yichangense,Lianghekouceras yichangense,0,1898.4568
1774,F_Neoeburoceras lianghekouense,Neoeburoceras lianghekouense,0,1898.4568
2011,F_Paraconocerina biconvexa,Paraconocerina biconvexa,0,1898.4568
2043,F_Parahuaiheceras hubeiense,Parahuaiheceras hubeiense,0,1898.4568
2421,F_Pseudoectenolites asymmetricus,Pseudoectenolites asymmetricus,0,1898.4568
2422,F_Pseudoectenolites elongatus,Pseudoectenolites elongatus,0,1898.4568
2423,F_Pseudoectenolites planatus,Pseudoectenolites planatus,0,1898.4568
2490,F_Ptychagnostus affinis,Ptychagnostus affinis,0,1898.4568
4231,L_Homotreta shantungensis,Homotreta shantungensis,1,1898.4568
1493,F_Lianghekouceras huanghuaense,Lianghekouceras huanghuaense,0,1898.7213
1775,F_Neoeburoceras sanxiaense,Neoeburoceras sanxiaense,0,1898.7213
2424,F_Pseudoectenolites semicollus,Pseudoectenolites semicollus,0,1898.7213
2943,F_Xiadongoceras typicum,Xiadongoceras typicum,0,1898.7213
3334,L_Changaspis taihuensis,Changaspis taihuensis,1,1898.7213
3584,L_Dakeoceras yangtzeense,Dakeoceras yangtzeense,1,1899.2201
4759,L_Neoeburoceras hubeiense,Neoeburoceras hubeiense,1,1899.2201
37,F_Acrothele minuta,Acrothele minuta,0,1899.81
3907,L_Ellesmeroceroides densus,Ellesmeroceroides densus,1,1899.81
4997,L_Paraconocerina biconvexa,Paraconocerina biconvexa,1,1899.81
1623,F_Metaredlichioides longxiensis,Metaredlichioides longxiensis,0,1910.4202
3023,L_Acrothele minuta,Acrothele minuta,1,1910.5435
3908,L_Ellesmeroceroides hubeiensis,Ellesmeroceroides hubeiensis,1,1910.5435
5018,L_Paraeburoceras yichangense,Paraeburoceras yichangense,1,1910.5435
5929,L_Xiadongoceras typicum,Xiadongoceras typicum,1,1910.5435
1621,F_Metaredlichia (Metaredlichioides) elevatus,Metaredlichia (Metaredlichioides) elevatus,0,1932.1629
3583,L_Dakeoceras minosiphonatum,Dakeoceras minosiphonatum,1,1932.1629
4479,L_Lianghekouceras huanghuaense,Lianghekouceras huanghuaense,1,1932.1629
4480,L_Lianghekouceras yichangense,Lianghekouceras yichangense,1,1932.1629
4760,L_Neoeburoceras lianghekouense,Neoeburoceras lianghekouense,1,1932.1629
4761,L_Neoeburoceras sanxiaense,Neoeburoceras sanxiaense,1,1932.1629
5029,L_Parahuaiheceras hubeiense,Parahuaiheceras hubeiense,1,1932.1629
5928,L_Xiadongoceras clinoseptatum,Xiadongoceras clinoseptatum,1,1932.1629
3116,L_Anguloceras orientale,Anguloceras orientale,1,1934.2547
4129,L_Goldfieldia kunshanensis,Goldfieldia kunshanensis,1,1934.2547
4607,L_Metaredlichia (Metaredlichioides) elevatus,Metaredlichia (Metaredlichioides) elevatus,1,1934.2547
5410,L_Pseudoectenolites semicollus,Pseudoectenolites semicollus,1,1934.2547
1508,F_Lingulella manchuriensis,Lingulella manchuriensis,0,1934.3983
1289,F_Hypagnostus nepos,Hypagnostus nepos,0,1945.4307
